anchor_idx,query_image,num_matches,num_inliers
39000,1385441325146397,1868,1549
38950,1385441325146397,1421,1185
39050,1385441325146397,1411,1096
38600,1403555106665615,496,354
39850,1403555106665615,451,344
38550,1403555106665615,445,323
40850,1414497498903528,731,583
40950,1414497498903528,561,464
40800,1414497498903528,577,457
40400,1420318224985387,1783,1324
40450,1420318224985387,1394,1084
40350,1420318224985387,1380,984
39600,1458347411197214,643,454
39800,1458347411197214,588,440
39550,1458347411197214,662,422
40400,1637329949801221,1725,1367
40350,1637329949801221,1467,1135
40200,1637329949801221,1142,995
39550,1755934427900869,1599,1256
39600,1755934427900869,1224,1023
39450,1755934427900869,1306,977
38550,1873006279565335,1603,1343
38500,1873006279565335,1463,1143
38600,1873006279565335,1268,1141
23861,1951146195035728,672,430
23866,1951146195035728,673,422
23871,1951146195035728,666,394
39300,1954770098513826,1487,1209
39250,1954770098513826,1195,1017
39400,1954770098513826,1325,1001
38900,2236085356525798,484,303
38650,2236085356525798,390,295
38150,2236085356525798,425,292
7786,2747790412198843,984,901
7781,2747790412198843,944,868
7791,2747790412198843,933,851
38250,2801041916827602,449,315
38300,2801041916827602,473,301
38350,2801041916827602,390,296
38400,2922357204752654,1336,1160
38350,2922357204752654,1305,1005
38300,2922357204752654,1164,957
39300,2973179696271735,1230,1000
39400,2973179696271735,1286,932
39500,2973179696271735,1100,904
40850,3736317583146995,868,720
40800,3736317583146995,706,596
40950,3736317583146995,722,562
7786,3901194019972102,714,553
7791,3901194019972102,553,372
7781,3901194019972102,507,344
39850,3912439145518104,431,355
38600,3912439145518104,464,335
38350,3912439145518104,425,324
38850,3957841700967474,1640,1413
38900,3957841700967474,1393,1346
38800,3957841700967474,1244,1003
39200,3973885756058652,1366,1084
39150,3973885756058652,1413,1049
39100,3973885756058652,1468,975
38500,4040014482748741,1586,1282
38550,4040014482748741,1419,1213
38450,4040014482748741,1322,1075
40850,4061209447235223,981,678
40800,4061209447235223,846,675
40750,4061209447235223,744,608
39750,4062903437100039,1301,1041
39600,4062903437100039,1224,1026
39550,4062903437100039,1124,996
39950,4090156661051179,1212,909
39850,4090156661051179,1079,833
40000,4090156661051179,1011,829
7786,4232333256798703,49,29
2531,4232333256798703,49,25
23861,4232333256798703,56,21
40850,4383884718289873,678,518
40750,4383884718289873,568,460
40800,4383884718289873,559,452
