anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
4,12,8550,24650,84,48
4,12,8550,24700,152,92
4,12,8500,24700,135,83
4,12,8600,24700,127,71
4,12,8350,24750,84,42
4,12,8450,24750,69,41
4,12,8400,24750,73,38
4,12,8400,24800,102,63
4,12,8450,24800,114,63
4,12,8600,24800,101,63
4,12,8400,24850,95,56
4,12,8450,24850,98,54
4,12,8600,24850,90,52
4,12,8500,24900,116,89
4,12,8400,24900,107,77
4,12,8550,24900,98,77
4,12,8450,24950,265,209
4,12,8650,24950,275,174
4,12,8400,24950,191,159
4,12,8650,25000,279,192
4,12,8450,25000,237,187
4,12,8400,25000,181,156
4,12,8650,25050,295,205
4,12,8550,25050,229,150
4,12,8450,25050,192,131
4,12,8650,25100,268,165
4,12,8700,25100,218,136
4,12,8600,25100,209,131
4,12,8650,25150,225,134
4,12,8700,25150,189,123
4,12,8350,25150,148,116
4,12,8700,25200,176,105
4,12,8650,25200,148,90
4,12,8750,25200,123,60
4,12,8650,25250,174,45
4,12,8600,25250,109,31
4,12,9850,25250,69,30
4,12,8750,25300,151,42
4,12,9250,25300,70,41
4,12,8550,25300,176,36
4,12,8700,25350,145,75
4,12,8650,25350,161,70
4,12,8750,25350,132,56
4,12,8100,25400,112,39
4,12,8450,25400,94,39
4,12,8550,25400,157,39
4,12,8700,25450,138,61
4,12,8650,25450,112,52
4,12,8900,25450,85,46
